filepath,composer,era,n_notes,pitch_mean,pitch_std,prime_sum_ratio,phi_density_ratio,interval_self_similarity,rw_corr_mean,rw_corr_z
data/raw/piano_midi/maestro-v3.0.0/2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,Alban Berg,Other,3777,65.57744241461478,13.579559914440415,0.08790045009266614,0.03441885093989939,0.05803248307780635,0.07739999208720545,14.050728085395107
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Other,4217,68.25231207019208,14.35071351573002,0.0851316101493953,0.030827602561062366,0.06313019856181933,0.0763071482263982,23.333506562348504
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,Alexander Scriabin,Other,2699,65.3697665802149,11.045310247162579,0.09670248240088922,0.04816598740274176,0.08048244690935445,0.09144803559785865,30.40563515758168
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,Alexander Scriabin,Other,819,78.97802197802197,10.696707034717477,0.0989010989010989,0.11965811965811966,0.0792419275839117,0.10108995088408812,10.341714288956641
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,Alexander Scriabin,Other,5864,63.125170532060025,12.726864390805067,0.08168485675306958,0.022169167803547066,0.06123035599148274,0.07693063497097583,35.93023885860851
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,Alexander Scriabin,Other,885,64.85536723163843,9.996015421165033,0.096045197740113,0.11977401129943503,0.07252175008959828,0.07810561292329159,9.34185087649297
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,Alexander Scriabin,Other,2967,59.91843613077182,13.131805203454133,0.08527131782945736,0.043815301651499834,0.061860341707067217,0.07603042843866739,19.451423815309916
data/raw/piano_midi/maestro-v3.0.0/2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,Alexander Scriabin,Other,2236,65.52236135957067,13.640704534013894,0.09168157423971378,0.05813953488372093,0.0788800317842433,0.09636054674100074,23.185699445470604
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Other,5803,61.27434085817681,12.494322331819832,0.09288299155609167,0.022402205755643632,0.06925769897311061,0.08782332764516178,24.99511239621361
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,Alexander Scriabin,Other,6940,61.305763688760806,15.136502673259315,0.08270893371757924,0.018731988472622477,0.05054812006265748,0.06790405074880254,20.275718972974946
data/raw/piano_midi/maestro-v3.0.0/2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi,Alexander Scriabin,Other,6607,61.783260178598454,14.682109697713246,0.08082336915392765,0.019676101104888755,0.05454164957803458,0.07165796157930006,24.711749770985843
data/raw/piano_midi/maestro-v3.0.0/2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,Alexander Scriabin,Other,6847,61.46312253541697,14.828469801058125,0.08354023659997079,0.018986417409084272,0.05992806017429035,0.07672553943737323,23.588015622009898
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,Alexander Scriabin,Other,1120,68.46696428571428,10.58852047192802,0.09285714285714286,0.11607142857142858,0.11594251599108771,0.1403317018122215,19.000207464785966
data/raw/piano_midi/maestro-v3.0.0/2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,Alexander Scriabin,Other,2055,63.733333333333334,12.84755965668959,0.09927007299270073,0.06326034063260341,0.05940258070341806,0.07017871619859492,11.966864751016418
data/raw/piano_midi/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi,Alexander Scriabin,Other,5937,66.40963449553647,14.483062476125685,0.08354387737914772,0.021896580764695976,0.06369721233611848,0.08242628657797636,26.123523304017375
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi,Alexander Scriabin,Other,4075,61.57914110429448,13.499440815447981,0.08957055214723926,0.03190184049079755,0.05739612360463096,0.07468819317804923,19.841241259496126
data/raw/piano_midi/maestro-v3.0.0/2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi,Alexander Scriabin,Other,4206,61.10271041369472,13.765145370851215,0.08178792201616739,0.030908226343319068,0.06469990066452956,0.08324605947062115,29.608840055078453
data/raw/piano_midi/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.midi,Alexander Scriabin,Other,4404,61.83969118982743,13.798708804230415,0.09627611262488647,0.029518619436875566,0.06251587656309755,0.0717937963931612,16.44356396802862
data/raw/piano_midi/maestro-v3.0.0/2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi,Alexander Scriabin,Other,4044,61.57294757665677,13.462971532646286,0.08803165182987141,0.03214638971315529,0.06047938738174536,0.07222495282360035,17.50276031789956
data/raw/piano_midi/maestro-v3.0.0/2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi,Alexander Scriabin,Other,2323,62.08394317692639,11.806457426749612,0.077916487300904,0.055962117950925525,0.07210165312534061,0.09537829430198605,31.702479537579592
